"theta","vectors:0","vectors:1","vectors:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.091966,-0.00021095,0.091831,0.99573,1,0.48551,0.48551,0,0
0.092347,-0.00020538,0.09221,0.99569,1,0.48651,0.48651,0,0
0.092728,-0.00019982,0.092589,0.99566,1,0.48751,0.48751,0,0
0.093109,-0.00019426,0.092968,0.99562,1,0.48851,0.48851,0,0
0.09349,-0.00018869,0.093347,0.99559,1,0.48951,0.48951,0,0
0.09387,-0.00018313,0.093727,0.99555,1,0.49051,0.49051,0,0
0.094251,-0.00017756,0.094106,0.99551,1,0.49151,0.49151,0,0
0.094632,-0.000172,0.094485,0.99548,1,0.49251,0.49251,0,0
0.095013,-0.00016643,0.094864,0.99544,1,0.49351,0.49351,0,0
0.095393,-0.00016087,0.095243,0.9954,1,0.49451,0.49451,0,0
0.095774,-0.00015531,0.095622,0.99537,1,0.4955,0.4955,0,0
0.096155,-0.00014974,0.096001,0.99533,1,0.4965,0.4965,0,0
0.096536,-0.00014418,0.09638,0.99529,1,0.4975,0.4975,0,0
0.096916,-0.00013861,0.096759,0.99526,1,0.4985,0.4985,0,0
0.097297,-0.00013305,0.097138,0.99522,1,0.4995,0.4995,0,0
0.097678,-0.00012748,0.097517,0.99519,1,0.5005,0.5005,0,0
0.098059,-0.00012192,0.097896,0.99515,1,0.5015,0.5015,0,0
0.09844,-0.00011636,0.098275,0.99511,1,0.5025,0.5025,0,0
0.09882,-0.00011079,0.098654,0.99508,1,0.5035,0.5035,0,0
0.099201,-0.00010523,0.099033,0.99504,1,0.5045,0.5045,0,0
0.099582,-9.9662e-05,0.099412,0.995,1,0.50549,0.50549,0,0
0.099963,-9.4098e-05,0.099791,0.99497,1,0.50649,0.50649,0,0
0.10034,-8.8534e-05,0.10017,0.99493,1,0.50749,0.50749,0,0
0.10072,-8.2969e-05,0.10055,0.9949,1,0.50849,0.50849,0,0
0.1011,-7.7405e-05,0.10093,0.99486,1,0.50949,0.50949,0,0
0.10149,-7.1841e-05,0.10131,0.99482,1,0.51049,0.51049,0,0
0.10187,-6.6276e-05,0.10169,0.99479,1,0.51149,0.51149,0,0
0.10225,-6.0712e-05,0.10207,0.99475,1,0.51249,0.51249,0,0
0.10263,-5.5147e-05,0.10244,0.99471,1,0.51349,0.51349,0,0
0.10301,-4.9583e-05,0.10282,0.99468,1,0.51449,0.51449,0,0
0.10339,-4.4019e-05,0.1032,0.99464,1,0.51548,0.51548,0,0
0.10377,-3.8455e-05,0.10358,0.99461,1,0.51648,0.51648,0,0
0.10415,-3.289e-05,0.10396,0.99457,1,0.51748,0.51748,0,0
0.10453,-2.7326e-05,0.10434,0.99453,1,0.51848,0.51848,0,0
0.10491,-2.1762e-05,0.10472,0.9945,1,0.51948,0.51948,0,0
