s, q, Energy
0.325, 0.5, 26.659573071742393
0.325, 0.6, 30.536748146719894
0.325, 0.7, 35.05759044580439
0.325, 0.8, 40.78369461278607
0.35, 0.3, 21.375755883246452
0.35, 0.4, 23.48014401640285
0.35, 0.5, 26.480380823159148
0.35, 0.6, 30.39199955876284
0.35, 0.7, 35.076049159904876
0.35, 0.8, 40.673744923357916
0.375, 0.3, 21.085184578928942
0.375, 0.4, 23.18688250500712
0.375, 0.5, 26.264975744092304
0.375, 0.6, 30.238750525387143
0.375, 0.7, 34.811329700758066
0.375, 0.8, 40.54066077020721
0.4, 0.3, 20.792225743749253
0.4, 0.4, 22.963412449927763
0.4, 0.5, 26.049312567429357
0.4, 0.6, 30.08844621114914
0.4, 0.7, 34.65945234184279
0.4, 0.8, 40.41360944991781
0.425, 0.3, 20.494854416075356
0.425, 0.4, 22.711468192969324
0.425, 0.5, 25.853795187936125
0.425, 0.6, 29.940731017064834
0.425, 0.7, 34.54530402384585
0.425, 0.8, 40.279481693576514
0.45, 0.3, 20.263596887877362
0.45, 0.4, 22.460303785728655
0.45, 0.5, 25.65293239635767
0.45, 0.6, 29.899534398375646
0.45, 0.7, 34.44076331398893
0.45, 0.8, 40.14159922450461
0.475, 0.3, 19.973850393529624
0.475, 0.4, 22.308865952538557
0.475, 0.5, 25.46917281193051
0.475, 0.6, 29.63190098585301
0.475, 0.7, 34.230678207944244
0.475, 0.8, 40.09047532674745
0.5, 0.3, 19.773713746945333
0.5, 0.4, 22.061149606942838
0.5, 0.5, 25.28292875920745
0.5, 0.6, 29.475513519980815
0.5, 0.7, 34.08892900071767
0.5, 0.8, 39.83281950179127
0.525, 0.3, 19.497010677815013
0.525, 0.4, 21.861635444108167
0.525, 0.5, 25.097041549683272
0.525, 0.6, 29.34447929035288
0.525, 0.7, 33.94078534832197
0.525, 0.8, 39.66133421042684
0.55, 0.3, 19.19265035609029
0.55, 0.4, 21.545332126786892
0.55, 0.5, 24.914062446999313
0.55, 0.6, 29.18795594548874
0.55, 0.7, 33.78635994042866
0.55, 0.8, 39.47164042336223
0.575, 0.3, 18.921366003306197
0.575, 0.4, 21.298146822398962
0.575, 0.5, 24.732981417941755
0.575, 0.6, 29.037277504597668
0.575, 0.7, 33.61951491522892
0.575, 0.8, 39.28547231309248
0.6, 0.3, 18.693462942893902
0.6, 0.4, 21.157083998716118
0.6, 0.5, 24.55332037603097
0.6, 0.6, 28.903611897692493
0.6, 0.7, 33.43494983701516
0.6, 0.8, 39.08986858722015
0.625, 0.3, 18.428591688514935
0.625, 0.4, 20.93790338933005
0.625, 0.5, 24.382090904186107
0.625, 0.6, 28.76360210900492
0.625, 0.7, 33.26372853762213
0.625, 0.8, 38.878994119528535
0.65, 0.3, 18.176318641882048
0.65, 0.4, 20.724239567875376
0.65, 0.5, 24.20151864386215
0.65, 0.6, 28.73650720632644
0.65, 0.7, 33.09271930927202
0.65, 0.8, 38.63715652686888
0.675, 0.3, 17.922049769861097
0.675, 0.4, 20.50709156358105
0.675, 0.5, 24.02575667498015
0.675, 0.6, 28.453657560807784
0.675, 0.7, 32.87076992271573
0.675, 0.8, 38.427282559809406
0.7, 0.3, 17.643416176636826
0.7, 0.4, 20.300506687444596
0.7, 0.5, 23.839152013909477
0.7, 0.6, 28.41422310030836
0.7, 0.7, 32.72429227445018
0.7, 0.8, 38.18607243078967
0.725, 0.3, 17.39665642585105
0.725, 0.4, 20.0719418303258
0.725, 0.5, 23.666208918857354
0.725, 0.6, 28.25111910497416
0.725, 0.7, 32.51386102746294
0.725, 0.8, 37.92907267179966
0.75, 0.3, 17.20119924285076
0.75, 0.4, 19.896289648556873
0.75, 0.5, 23.495875580070052
0.75, 0.6, 28.127651509364338
0.75, 0.7, 32.292098008684654
0.75, 0.8, 37.66552703673006
0.775, 0.3, 16.943587576623976
0.775, 0.4, 19.655704194394197
0.775, 0.5, 23.34028829997579
0.775, 0.6, 27.83042864156658
0.775, 0.7, 32.08580692825907
0.775, 0.8, 37.39597522282332
0.8, 0.3, 16.6649063469756
0.8, 0.4, 19.4604001890578
0.8, 0.5, 23.131472563996414
0.8, 0.6, 27.801753227816775
0.8, 0.7, 31.882814234333736
0.8, 0.8, 37.123910347452906
0.825, 0.3, 16.406068938583356
0.825, 0.4, 19.22898336056999
0.825, 0.5, 22.94315872076338
0.825, 0.6, 27.63908924577992
0.825, 0.7, 31.642334585944766
0.825, 0.8, 36.83420459132735
0.85, 0.3, 16.15615177929257
0.85, 0.4, 19.00703466982607
0.85, 0.5, 22.7664164364617
0.85, 0.6, 27.34261381134732
0.85, 0.7, 31.420586625145674
0.85, 0.8, 36.555774093938425
0.875, 0.3, 15.88995661407174
0.875, 0.4, 18.788243308105947
0.875, 0.5, 22.575641489088714
0.875, 0.6, 27.177846533474955
0.875, 0.7, 31.19298570662773
0.875, 0.8, 36.26923575203194
0.9, 0.3, 15.655416225128556
0.9, 0.4, 18.56642899438775
0.9, 0.5, 22.38369203646844
0.9, 0.6, 26.996055883871026
0.9, 0.7, 30.96901670766617
0.9, 0.8, 35.95780185911559
0.925, 0.3, 15.376903812384713
0.925, 0.4, 18.353811729135785
0.925, 0.5, 22.18865155517647
0.925, 0.6, 26.827863418106613
0.925, 0.7, 30.699597242771638
0.925, 0.8, 35.661067101389655
0.95, 0.3, 15.127433609129252
0.95, 0.4, 18.126491303014717
0.95, 0.5, 22.000837062047616
0.95, 0.6, 26.656964096019955
0.95, 0.7, 31.179248628607535
0.95, 0.8, 35.357091042333735
0.975, 0.3, 14.851723535899351
0.975, 0.4, 17.89381998761161
0.975, 0.5, 21.81367358815924
0.975, 0.6, 26.46199051143876
0.975, 0.7, 30.199484069973565
0.975, 0.8, 35.02131928252081
1.0, 0.3, 14.605714563350947
1.0, 0.4, 17.681241198123566
1.0, 0.5, 21.590243541097667
1.0, 0.6, 26.285917799028635
1.0, 0.7, 29.959490893411928
1.0, 0.8, 34.70909763523126
