s, q, Energy
0.45, 0.7, 35.02324891398893
0.45, 0.8, 40.7809612245046
0.475, 0.3, 20.508725393529623
0.475, 0.4, 22.836935652538568
0.475, 0.5, 25.985531011930508
0.475, 0.6, 30.143664185853012
0.475, 0.7, 34.84552410794425
0.475, 0.8, 40.76535742674745
0.5, 0.3, 20.336740046945327
0.5, 0.4, 22.61701250694284
0.5, 0.5, 25.826463659207466
0.5, 0.6, 30.014211619980813
0.5, 0.7, 34.73613520071767
0.5, 0.8, 40.54322180179127
0.525, 0.3, 20.088188277815007
0.525, 0.4, 22.44529144410818
0.525, 0.5, 25.66775324968325
0.525, 0.6, 29.91011229035288
0.525, 0.7, 34.62035184832199
0.525, 0.8, 40.40725661042685
0.55, 0.3, 19.811979356090276
0.55, 0.4, 22.1567812267869
0.55, 0.5, 25.511950846999312
0.55, 0.6, 29.78052384548873
0.55, 0.7, 34.498286740428654
0.55, 0.8, 40.25308292336223
0.575, 0.3, 19.568846303306202
0.575, 0.4, 21.937389122398958
0.575, 0.5, 25.35804661794175
0.575, 0.6, 29.656780304597664
0.575, 0.7, 34.36380201522891
0.575, 0.8, 40.10243491309247
0.6, 0.3, 19.3690945428939
0.6, 0.4, 21.824119398716114
0.6, 0.5, 25.205562276030964
0.6, 0.6, 29.550049597692485
0.6, 0.7, 34.21159723701516
0.6, 0.8, 39.94235128722016
0.625, 0.3, 19.13237458851494
0.625, 0.4, 21.63273198933005
0.625, 0.5, 25.061509604186103
0.625, 0.6, 29.43697470900493
0.625, 0.7, 34.07273623762213
0.625, 0.8, 39.76699691952853
0.65, 0.3, 18.908252841882046
0.65, 0.4, 21.446861267875377
0.65, 0.5, 24.90811404386215
0.65, 0.6, 29.43681470632644
0.65, 0.7, 33.93408730927202
0.65, 0.8, 39.56067942686888
0.675, 0.3, 18.682135269861092
0.675, 0.4, 21.25750646358105
0.675, 0.5, 24.75952887498016
0.675, 0.6, 29.180899960807785
0.675, 0.7, 33.74449822271573
0.675, 0.8, 39.38632555980941
0.7, 0.3, 18.431653076636827
0.7, 0.4, 21.078714687444595
0.7, 0.5, 24.600100913909472
0.7, 0.6, 29.16840040030837
0.7, 0.7, 33.63038087445019
0.7, 0.8, 39.18063563078967
0.725, 0.3, 18.213044625851047
0.725, 0.4, 20.8779429303258
0.725, 0.5, 24.454334618857363
0.725, 0.6, 29.032231304974164
0.725, 0.7, 33.452309927462935
0.725, 0.8, 38.95915597179966
0.75, 0.3, 18.045738742850766
0.75, 0.4, 20.730083948556874
0.75, 0.5, 24.31117798007006
0.75, 0.6, 28.935698609364344
0.75, 0.7, 33.26290730868466
0.75, 0.8, 38.731130436730055
0.775, 0.3, 17.816278376623973
0.775, 0.4, 20.517291594394194
0.775, 0.5, 24.18276749997579
0.775, 0.6, 28.665410641566584
0.775, 0.7, 33.08897652825907
0.775, 0.8, 38.497098722823324
0.8, 0.3, 17.5657484469756
0.8, 0.4, 20.349780789057792
0.8, 0.5, 24.001128463996416
0.8, 0.6, 28.663670127816783
0.8, 0.7, 32.91834413433375
0.8, 0.8, 38.260553947452905
0.825, 0.3, 17.33506233858336
0.825, 0.4, 20.146157060569987
0.825, 0.5, 23.83999142076337
0.825, 0.6, 28.52794104577993
