g, p, q, pore_AR
0.45, 0.05, 0.25, 6.330631418626903
0.45, 0.05, 0.3, 5.731949275655696
0.45, 0.05, 0.35, 4.8108598609506315
0.45, 0.05, 0.4, 3.643632670241806
0.45, 0.05, 0.45, 2.7464786827170897
0.45, 0.05, 0.5, 1.9986089723029776
0.45, 0.05, 0.55, 1.3426895633019265
0.45, 0.05, 0.6, 1.2820249876143996
0.45, 0.05, 0.65, 1.032291299021354
0.45, 0.05, 0.7, 1.3543623057683802
0.45, 0.05, 0.75, 0.8745843214184854
0.45, 0.05, 0.8, 0.9839644071598775
0.45, 0.05, 0.85, 1.0282585620279077
0.45, 0.05, 0.9, 0.8044767441988163
0.45, 0.05, 0.95, 0.7418281790209041
0.45, 0.05, 1, 0.9393950241586349
0.45, 0.05, 1.05, 0.8611197761710709
0.45, 0.05, 1.1, 0.849959829734756
0.5, 0.05, 0, 7.7241793068114095
0.5, 0.05, 0.05, 7.758041535200425
0.5, 0.05, 0.1, 8.085069918601722
0.5, 0.05, 0.15, 7.921631682949718
0.5, 0.05, 0.2, 7.070515591951118
0.5, 0.05, 0.25, 6.577190275473216
0.5, 0.05, 0.3, 5.667963420962431
0.5, 0.05, 0.35, 4.127585106290947
0.5, 0.05, 0.4, 3.0124017206968214
0.5, 0.05, 0.45, 2.037396782689538
0.5, 0.05, 0.5, 1.4079653895389055
0.5, 0.05, 0.55, 1.2897078209550066
0.5, 0.05, 0.6, 1.1103054627440634
0.5, 0.05, 0.65, 0.9575916385485667
0.5, 0.05, 0.7, 1.1382316785470414
0.5, 0.05, 0.75, 0.7998791571608702
0.5, 0.05, 0.8, 0.7898038563180141
0.5, 0.05, 0.85, 0.7675272776286078
0.5, 0.05, 0.9, 0.8881974242069083
0.5, 0.05, 0.95, 0.6148762520536329
0.5, 0.05, 1, 1.0954862786647694
0.5, 0.05, 1.05, 0.8560751557221568
0.5, 0.05, 1.1, 0.839962097084054
0.55, 0.05, 0, 7.99640977204046
0.55, 0.05, 0.05, 8.485262365564363
0.55, 0.05, 0.1, 8.298750026065077
0.55, 0.05, 0.15, 8.064359990930035
0.55, 0.05, 0.2, 7.531362537665714
0.55, 0.05, 0.25, 6.173880971058997
0.55, 0.05, 0.3, 4.709725080191471
0.55, 0.05, 0.35, 3.3112903576893733
0.55, 0.05, 0.4, 2.2064725785564008
0.55, 0.05, 0.45, 1.7651795819777583
0.55, 0.05, 0.5, 1.582344710745099
0.55, 0.05, 0.55, 1.5622836059871583
0.55, 0.05, 0.6, 1.1688517406815415
0.55, 0.05, 0.65, 1.3610508521485267
0.55, 0.05, 0.7, 1.1150351171065447
0.55, 0.05, 0.75, 0.9947726145464147
0.55, 0.05, 0.8, 0.7604077670571678
0.55, 0.05, 0.85, 0.7873140140528866
0.55, 0.05, 0.9, 0.7998558988238684
0.55, 0.05, 0.95, 1.0785095085429837
0.55, 0.05, 1, 0.8733462300468707
0.55, 0.05, 1.05, 1.1043700900913758
0.55, 0.05, 1.1, 0.7743913493493109
0.6, 0.05, 0, 8.32362371807175
0.6, 0.05, 0.05, 8.686529587256969
0.6, 0.05, 0.1, 8.72991807126308
0.6, 0.05, 0.15, 8.439418950165281
0.6, 0.05, 0.2, 7.235180251566344
0.6, 0.05, 0.25, 5.214939988857731
0.6, 0.05, 0.3, 3.7048662110593042
0.6, 0.05, 0.35, 2.44570084813346
0.6, 0.05, 0.4, 1.5039287399203558
0.6, 0.05, 0.45, 1.7518607541076439
0.6, 0.05, 0.5, 1.3397873323487117
0.6, 0.05, 0.55, 1.3247809421525445
0.6, 0.05, 0.6, 1.403529958644778
0.6, 0.05, 0.65, 1.0378631543363754
0.6, 0.05, 0.7, 0.8089646642236523
0.6, 0.05, 0.75, 0.9887355932906161
0.6, 0.05, 0.8, 0.7656000784450524
0.6, 0.05, 0.85, 1.0324209865520841
0.6, 0.05, 0.9, 0.8376912622936065
0.6, 0.05, 0.95, 0.4939128844873415
0.6, 0.05, 1, 0.7537288604044219
0.6, 0.05, 1.05, 0.5957354945518
0.6, 0.05, 1.1, 0.6715233230710353
0.65, 0.05, 0, 8.922928849939048
0.65, 0.05, 0.05, 8.72573573395107
0.65, 0.05, 0.1, 9.103729259649418
0.65, 0.05, 0.15, 8.072902787415364
0.65, 0.05, 0.2, 5.949725990164132
0.65, 0.05, 0.25, 4.084363834543737
0.65, 0.05, 0.3, 2.688541039568023
0.65, 0.05, 0.35, 1.633225530842581
0.65, 0.05, 0.4, 2.185253499558253
0.65, 0.05, 0.45, 2.070602348050966
0.65, 0.05, 0.5, 1.7903182010882785
0.65, 0.05, 0.55, 1.2525837642149147
0.65, 0.05, 0.6, 0.9807400097541659
0.65, 0.05, 0.65, 0.9704099954385249
0.65, 0.05, 0.7, 0.9494566468580206
0.65, 0.05, 0.75, 0.8852876997655637
0.65, 0.05, 0.8, 0.9415450568757422
0.65, 0.05, 0.85, 1.0074301387095506
0.65, 0.05, 0.9, 0.7167451167291867
0.65, 0.05, 0.95, 0.8464904346967527
0.65, 0.05, 1, 0.772221016343879
0.65, 0.05, 1.05, 0.9946328773895111
0.65, 0.05, 1.1, 0.7308708913812978
0.7, 0.05, 0, 9.290743884632924
0.7, 0.05, 0.05, 9.596637938861145
0.7, 0.05, 0.1, 9.026868134633073
0.7, 0.05, 0.15, 6.550997042824796
0.7, 0.05, 0.2, 4.532772624161236
0.7, 0.05, 0.25, 3.0480740226579295
0.7, 0.05, 0.3, 1.6841520840583344
0.7, 0.05, 0.35, 1.5842408568180137
0.7, 0.05, 0.4, 2.0270011386086204
0.7, 0.05, 0.45, 1.5417924532695084
0.7, 0.05, 0.5, 1.0082733645664208
0.7, 0.05, 0.55, 1.175059702130174
0.7, 0.05, 0.6, 1.0461058619072985
0.7, 0.05, 0.65, 0.8301784732082201
0.7, 0.05, 0.7, 0.9491403831708835
0.7, 0.05, 0.75, 0.7230478044582489
0.7, 0.05, 0.8, 0.8987899791860923
0.7, 0.05, 0.85, 0.8951302035883522
0.7, 0.05, 0.9, 0.6104389413342449
0.7, 0.05, 0.95, 0.9289557870196742
0.7, 0.05, 1, 0.8756787108202446
0.7, 0.05, 1.05, 0.7554487947937234
0.7, 0.05, 1.1, 0.6770898103193757
0.75, 0.05, 0, 9.246363609531237
0.75, 0.05, 0.05, 9.432577636316896
0.75, 0.05, 0.1, 7.660997195210106
0.75, 0.05, 0.15, 5.115310540373696
0.75, 0.05, 0.2, 3.6275443929955027
0.75, 0.05, 0.25, 1.5280069091314787
0.75, 0.05, 0.3, 1.7293401163414535
0.75, 0.05, 0.35, 1.889882523793245
0.75, 0.05, 0.4, 1.3298285270648642
0.75, 0.05, 0.45, 1.9517748359729574
0.75, 0.05, 0.5, 0.774076462664622
0.75, 0.05, 0.55, 0.9162050592497045
0.75, 0.05, 0.6, 0.8870089139263344
0.75, 0.05, 0.65, 0.8352201752973957
0.75, 0.05, 0.7, 1.0412975844709333
0.75, 0.05, 0.75, 0.9865541346548911
0.75, 0.05, 0.8, 1.0451518505906734
0.75, 0.05, 0.85, 1.172656943681694
0.75, 0.05, 0.9, 0.7889802528838815
0.75, 0.05, 0.95, 0.751648046004414
0.75, 0.05, 1, 0.8542738248382218
0.75, 0.05, 1.05, 0.8105557025536386
0.75, 0.05, 1.1, 0.79729957089615
0.8, 0.05, 0, 9.317182213528248
0.8, 0.05, 0.05, 8.241224700038652
0.8, 0.05, 0.1, 5.752523425477263
0.8, 0.05, 0.15, 4.026682233978947
