p, g, q, Energy
0.05, 0.7, 0.1, 15.672483163475846
0.05, 0.7, 0.15, 18.16172909009854
0.05, 0.7, 0.2, 19.79003674907527
0.05, 0.7, 0.25, 21.599484470408754
0.05, 0.7, 0.3, 23.689777021006712
0.05, 0.7, 0.35, 24.638480229966287
0.05, 0.7, 0.4, 25.937239546115322
0.05, 0.7, 0.45, 27.309617134705846
0.05, 0.7, 0.5, 28.463312469640687
0.05, 0.7, 0.55, 30.124409096420624
0.05, 0.7, 0.6, 31.34247125360201
0.05, 0.7, 0.65, 33.50897612167152
0.05, 0.7, 0.7, 36.039787367461294
0.05, 0.7, 0.75, 39.600161377803836
0.05, 0.7, 0.8, 41.17040039427621
0.05, 0.7, 0.85, 44.78364837832237
0.05, 0.7, 0.9, 48.310610129637034
0.05, 0.7, 0.95, 51.665336743583
0.05, 0.7, 1, 56.2624511943938
0.05, 0.7, 1.05, 59.778320695768976
0.05, 0.7, 1.1, 63.389591860672645
0.05, 0.75, 0, 15.980627308425467
0.05, 0.75, 0.05, 16.082144814613088
0.05, 0.75, 0.1, 18.289923663583437
0.05, 0.75, 0.15, 19.632771782221702
0.05, 0.75, 0.2, 20.884317290942747
0.05, 0.75, 0.25, 23.5890902053422
0.05, 0.75, 0.3, 24.042310543240998
0.05, 0.75, 0.35, 24.97906359905072
0.05, 0.75, 0.4, 25.65437555717541
0.05, 0.75, 0.45, 27.14526810642479
0.05, 0.75, 0.5, 28.921387515677914
0.05, 0.75, 0.55, 30.171766009222832
0.05, 0.75, 0.6, 31.673437169591185
0.05, 0.75, 0.65, 35.25269894913733
0.05, 0.75, 0.7, 36.685476229531815
0.05, 0.75, 0.75, 39.147276688426864
0.05, 0.75, 0.8, 41.93031681722561
0.05, 0.75, 0.85, 45.34072002928933
0.05, 0.75, 0.9, 48.31356034709248
0.05, 0.75, 0.95, 51.56292418259093
0.05, 0.75, 1, 55.716218083729665
0.05, 0.75, 1.05, 60.08286097421886
0.05, 0.75, 1.1, 63.492048325241676
0.05, 0.8, 0, 16.50071499174029
0.05, 0.8, 0.05, 17.85842458808567
0.05, 0.8, 0.1, 19.518026020864955
0.05, 0.8, 0.15, 20.750310677921128
0.05, 0.8, 0.2, 23.713529083723966
0.05, 0.8, 0.25, 23.763636478563
0.05, 0.8, 0.3, 24.229993461757104
0.05, 0.8, 0.35, 24.463367018868954
0.05, 0.8, 0.4, 26.624484178544332
0.05, 0.8, 0.45, 27.272900993423356
0.05, 0.8, 0.5, 27.990239088133055
0.05, 0.8, 0.55, 30.171368433187652
0.05, 0.8, 0.6, 32.07548553455668
0.05, 0.8, 0.65, 33.67240598256802
0.05, 0.8, 0.7, 36.48656378777071
0.05, 0.8, 0.75, 40.711795218497315
0.05, 0.8, 0.8, 42.030766696224795
0.05, 0.8, 0.85, 45.60537852207701
0.05, 0.8, 0.9, 48.51188969543087
0.05, 0.8, 0.95, 51.612750812950765
0.05, 0.8, 1, 55.412264479471034
0.05, 0.8, 1.05, 60.07020562109233
0.05, 0.8, 1.1, 63.56121675489743
0.05, 0.85, 0, 19.147716012216012
0.05, 0.85, 0.05, 19.360570235932204
0.05, 0.85, 0.1, 20.624420800364735
0.05, 0.85, 0.15, 22.012920645806318
0.05, 0.85, 0.2, 23.649268247247402
