g, p, q, pore_area
0.45, 0.05, 0.4, 2.436764095875347
0.45, 0.05, 0.45, 1.8556009387612562
0.45, 0.05, 0.5, 1.1626004825198493
0.45, 0.05, 0.55, 0.20718694996674003
0.45, 0.05, 0.6, 0.20383171874506445
0.45, 0.05, 0.65, 0.15368345724526478
0.45, 0.05, 0.7, 0.1220666433011246
0.45, 0.05, 0.75, 0.12314241548212124
0.45, 0.05, 0.8, 0.04425397248438401
0.45, 0.05, 0.85, 0.17115235243963411
0.45, 0.05, 0.9, 0.19566933824114585
0.45, 0.05, 0.95, 0.14037738903141417
0.45, 0.05, 1, 9.629658184132921
0.45, 0.05, 1.05, 18.962174540924522
0.45, 0.05, 1.1, 19.798344921387894
0.5, 0.05, 0, 3.035711473483758
0.5, 0.05, 0.05, 2.9291338683378996
0.5, 0.05, 0.1, 2.8274252872075323
0.5, 0.05, 0.15, 2.8578904298027368
0.5, 0.05, 0.2, 3.028529415147787
0.5, 0.05, 0.25, 3.147252736095112
0.5, 0.05, 0.3, 2.9006521281514495
0.5, 0.05, 0.35, 2.222710689569098
0.5, 0.05, 0.4, 1.6886638541008807
0.5, 0.05, 0.45, 0.9734796712885725
0.5, 0.05, 0.5, 0.2057843321870223
0.5, 0.05, 0.55, 0.1649790359239489
0.5, 0.05, 0.6, 0.15782952037911002
0.5, 0.05, 0.65, 0.14487660634154054
0.5, 0.05, 0.7, 0.09240726314843073
0.5, 0.05, 0.75, 0.08219555788264188
0.5, 0.05, 0.8, 0.08643659327697151
0.5, 0.05, 0.85, 0.06406389817784941
0.5, 0.05, 0.9, 0.1356338180340657
0.5, 0.05, 0.95, 0.03299677544296742
0.5, 0.05, 1, 0.15226127385575694
0.5, 0.05, 1.05, 0.2013060230402175
0.5, 0.05, 1.1, 20.076269423562536
0.55, 0.05, 0, 2.8352538474897244
0.55, 0.05, 0.05, 2.673149120923995
0.55, 0.05, 0.1, 2.694513323119395
0.55, 0.05, 0.15, 2.692697690554624
0.55, 0.05, 0.2, 2.7764151629929756
0.55, 0.05, 0.25, 2.685075965819891
0.55, 0.05, 0.3, 2.113973196954163
0.55, 0.05, 0.35, 1.6244754355010116
0.55, 0.05, 0.4, 0.9213015348583724
0.55, 0.05, 0.45, 0.3489062207479634
0.55, 0.05, 0.5, 0.13373663217693377
0.55, 0.05, 0.55, 0.12561634117595588
0.55, 0.05, 0.6, 0.10505955444436665
0.55, 0.05, 0.65, 0.08422980900246557
0.55, 0.05, 0.7, 0.09930869528231767
0.55, 0.05, 0.75, 0.044645470926667485
0.55, 0.05, 0.8, 0.11142223117359151
0.55, 0.05, 0.85, 0.09962444134811221
0.55, 0.05, 0.9, 0.11434309624416983
0.55, 0.05, 0.95, 0.08621906888615172
0.55, 0.05, 1, 0.07233202612806622
0.55, 0.05, 1.05, 0.05282451022007706
0.55, 0.05, 1.1, 0.11274239142498743
0.6, 0.05, 0, 2.6401196602018615
0.6, 0.05, 0.05, 2.560743089217084
0.6, 0.05, 0.1, 2.4914335160216154
0.6, 0.05, 0.15, 2.546852364306261
0.6, 0.05, 0.2, 2.541873547331164
0.6, 0.05, 0.25, 2.0542922330881765
0.6, 0.05, 0.3, 1.5737789877483266
0.6, 0.05, 0.35, 1.0018966999734573
0.6, 0.05, 0.4, 0.1368158304338749
0.6, 0.05, 0.45, 0.12578170897850782
0.6, 0.05, 0.5, 0.09854845796647282
0.6, 0.05, 0.55, 0.09175225487055627
0.6, 0.05, 0.6, 0.0966504957780785
0.6, 0.05, 0.65, 0.03010181928301847
0.6, 0.05, 0.7, 0.09300043028316907
0.6, 0.05, 0.75, 0.04861131310785538
0.6, 0.05, 0.8, 0.06903619821390805
0.6, 0.05, 0.85, 0.0578419466851301
0.6, 0.05, 0.9, 0.06378670240493989
0.6, 0.05, 0.95, 0.003790515264185501
0.6, 0.05, 1, 0.06576481690737523
0.6, 0.05, 1.05, 0.0603838839950015
0.6, 0.05, 1.1, 0.06206714259822377
0.65, 0.05, 0, 2.5446108238109986
0.65, 0.05, 0.05, 2.4868708285625303
0.65, 0.05, 0.1, 2.4133625106492502
0.65, 0.05, 0.15, 2.4202213706927864
0.65, 0.05, 0.2, 2.0731128713154874
0.65, 0.05, 0.25, 1.5793945218990189
0.65, 0.05, 0.3, 1.0943442478543375
0.65, 0.05, 0.35, 0.14916766563304407
0.65, 0.05, 0.4, 0.10467296413085592
0.65, 0.05, 0.45, 0.07305307668039518
0.65, 0.05, 0.5, 0.06080048938079585
0.65, 0.05, 0.55, 0.08595628297852898
0.65, 0.05, 0.6, 0.06533785422651306
0.65, 0.05, 0.65, 0.0587023836800995
0.65, 0.05, 0.7, 0.06919619832750357
0.65, 0.05, 0.75, 0.0803370849399272
0.65, 0.05, 0.8, 0.06020627618593721
0.65, 0.05, 0.85, 0.04853430431138861
0.65, 0.05, 0.9, 0.048304521635614606
0.65, 0.05, 0.95, 0.05885500136653832
0.65, 0.05, 1, 0.06739974142129768
0.65, 0.05, 1.05, 0.02468239325476418
0.65, 0.05, 1.1, 0.057952967891637286
0.7, 0.05, 0, 2.4535208606108228
0.7, 0.05, 0.05, 2.2739143686294625
0.7, 0.05, 0.1, 2.275576832772714
0.7, 0.05, 0.15, 2.080153175745437
0.7, 0.05, 0.2, 1.614271505178209
0.7, 0.05, 0.25, 1.1477171258201935
0.7, 0.05, 0.3, 0.15378952819507674
0.7, 0.05, 0.35, 0.07960876056104382
0.7, 0.05, 0.4, 0.057456737658526436
0.7, 0.05, 0.45, 0.07878931943201906
0.7, 0.05, 0.5, 0.06451333516858426
0.7, 0.05, 0.55, 0.06366781226947182
0.7, 0.05, 0.6, 0.03455216247448334
0.7, 0.05, 0.65, 0.06090575720921265
0.7, 0.05, 0.7, 0.06164552458136541
0.7, 0.05, 0.75, 0.034450619649646796
0.7, 0.05, 0.8, 0.041008724025189736
0.7, 0.05, 0.85, 0.06206707930030575
0.7, 0.05, 0.9, 0.044486975736532486
0.7, 0.05, 0.95, 0.050109846399365665
0.7, 0.05, 1, 0.05537534255255139
0.7, 0.05, 1.05, 0.028220088390099818
0.7, 0.05, 1.1, 0.03582633136927882
0.75, 0.05, 0, 2.3904941087251075
0.75, 0.05, 0.05, 2.268239436091193
0.75, 0.05, 0.1, 2.122790089125928
0.75, 0.05, 0.15, 1.6649688688303144
0.75, 0.05, 0.2, 1.224763514796166
0.75, 0.05, 0.25, 0.13564172604705504
0.75, 0.05, 0.3, 0.12459562978662575
0.75, 0.05, 0.35, -0.048583123403133754
0.75, 0.05, 0.4, 0.07087564068933716
0.75, 0.05, 0.45, 0.0671839957605016
0.75, 0.05, 0.5, 0.04767384417067433
0.75, 0.05, 0.55, 0.049061153488992204
0.75, 0.05, 0.6, 0.05263461617752796
0.75, 0.05, 0.65, 0.054231088820884565
0.75, 0.05, 0.7, 0.03879507399406634
0.75, 0.05, 0.75, 0.021335101063868933
0.75, 0.05, 0.8, 0.032599335438661114
0.75, 0.05, 0.85, 0.07397558702179197
0.75, 0.05, 0.9, 0.045921736087265685
0.75, 0.05, 0.95, 0.023155496258510766
0.75, 0.05, 1, 0.04723629352783121
0.75, 0.05, 1.05, 0.03573327713357344
0.75, 0.05, 1.1, 0.028350636798720075
0.8, 0.05, 0, 2.2666993971765805
0.8, 0.05, 0.05, 2.1838610270139327
0.8, 0.05, 0.1, 1.7467444428692858
0.8, 0.05, 0.15, 1.3170913528255568
0.8, 0.05, 0.2, 0.5144870771889742
0.8, 0.05, 0.25, 0.07285385989287363
0.8, 0.05, 0.3, 0.07044569094577469
0.8, 0.05, 0.35, 0.06728202409232154
0.8, 0.05, 0.4, 0.0462542553901244
0.8, 0.05, 0.45, 0.0583208238564481
0.8, 0.05, 0.5, 0.022491241705694165
0.8, 0.05, 0.55, 0.055118612414403856
0.8, 0.05, 0.6, 0.040904200253706335
0.8, 0.05, 0.65, 0.05342921788115973
0.8, 0.05, 0.7, -0.000908499613586855
0.8, 0.05, 0.75, 0.04927107385535123
0.8, 0.05, 0.8, 0.026702825868241575
0.8, 0.05, 0.85, 0.035968062068150175
0.8, 0.05, 0.9, 0.0018384054514939407
0.8, 0.05, 0.95, 0.03965618617937139
0.8, 0.05, 1, -0.033005327989712896
0.8, 0.05, 1.05, 0.036342640678284965
0.8, 0.05, 1.1, 0.029133668544659486
0.85, 0.05, 0, 2.2560545018448295
0.85, 0.05, 0.05, 1.8608553012787894
0.85, 0.05, 0.1, 1.4106246213441977
0.85, 0.05, 0.15, 0.8883719373500867
0.85, 0.05, 0.2, -0.007005036596893888
0.85, 0.05, 0.25, 0.057168613656713774
0.85, 0.05, 0.3, -0.05830816857654497
0.85, 0.05, 0.35, 0.03194181846423305
0.85, 0.05, 0.4, 0.032532543319021556
0.85, 0.05, 0.45, 0.04265274465132052
0.85, 0.05, 0.5, 0.03170021401302847
0.85, 0.05, 0.55, 0.04098972468005968
0.85, 0.05, 0.6, 0.05142879595732097
0.85, 0.05, 0.65, 0.04212394019647547
0.85, 0.05, 0.7, 0.03565245863717337
0.85, 0.05, 0.75, 0.030951804701132346
0.85, 0.05, 0.8, 0.026074922741358364
0.85, 0.05, 0.85, 0.02445209411870053
0.85, 0.05, 0.9, 0.04333739642970613
0.85, 0.05, 0.95, 0.012405682679002439
0.85, 0.05, 1, 0.0315865211469486
0.85, 0.05, 1.05, 0.017743228424194513
0.85, 0.05, 1.1, 0.030525422366267208
0.9, 0.05, 0, 1.9901562999872766
0.9, 0.05, 0.05, 1.5106630627562652
0.9, 0.05, 0.1, 1.0749881883333643
0.9, 0.05, 0.15, 0.10179450027681014
0.9, 0.05, 0.2, 0.03445252997859427
0.9, 0.05, 0.25, 0.04475672605275349
0.9, 0.05, 0.3, 0.03744501726554006
0.9, 0.05, 0.35, 0.024226643467315512
0.9, 0.05, 0.4, 0.0429137309685359
0.9, 0.05, 0.45, 0.03131726890792663
0.9, 0.05, 0.5, 0.031814052533036374
0.9, 0.05, 0.55, 0.03720620635959904
0.9, 0.05, 0.6, 0.03668919244398694
0.9, 0.05, 0.65, 0.04208494205896329
0.9, 0.05, 0.7, 0.019827710175121638
0.9, 0.05, 0.75, 0.04233740743981684
0.9, 0.05, 0.8, 0.020839679412404166
0.9, 0.05, 0.85, 0.024365168131453174
0.9, 0.05, 0.9, 0.019822869026384637
0.9, 0.05, 0.95, 0.015295004502405618
0.9, 0.05, 1, 0.008309822497452046
0.9, 0.05, 1.05, 0.01583253560409048
0.9, 0.05, 1.1, 0.007670763733671038
0.95, 0.05, 0, 1.6692283086160415
0.95, 0.05, 0.05, 1.1883050798069092
0.95, 0.05, 0.1, 0.12837463530112814
0.95, 0.05, 0.15, 0.06736768469671972
0.95, 0.05, 0.2, 0.038868141886055696
0.95, 0.05, 0.25, 0.0388126869765415
0.95, 0.05, 0.3, 0.037622928488872276
0.95, 0.05, 0.35, 0.02490417662237121
0.95, 0.05, 0.4, 0.04680926767184701
0.95, 0.05, 0.45, 0.02767835421073528
0.95, 0.05, 0.5, 0.03543708316473726
0.95, 0.05, 0.55, 0.023813366818131954
0.95, 0.05, 0.6, 0.03672801588125196
0.95, 0.05, 0.65, 0.02349003191258703
0.95, 0.05, 0.7, 0.03397653134256018
0.95, 0.05, 0.75, 0.008442238024699122
0.95, 0.05, 0.8, 0.054458385535767206
0.95, 0.05, 0.85, 0.03873037761054832
0.95, 0.05, 0.9, 0.013713300454071486
0.95, 0.05, 0.95, 0.028227945132925925
0.95, 0.05, 1, 0.012337085352115196
0.95, 0.05, 1.05, 0.01703845616195565
0.95, 0.05, 1.1, 0.014075541111623124
1, 0.05, 0, 1.3306218425509684
1, 0.05, 0.05, 0.7786803374661702
1, 0.05, 0.1, 0.05754082651014869
1, 0.05, 0.15, 0.0395249828107751
1, 0.05, 0.2, 0.03798566780828594
1, 0.05, 0.25, 0.03910979212801635
1, 0.05, 0.3, 0.026014716061595777
1, 0.05, 0.35, 0.03973541515439649
1, 0.05, 0.4, -0.08753668251927138
1, 0.05, 0.45, 0.025285039791256736
1, 0.05, 0.5, 0.035495867274121906
1, 0.05, 0.55, 0.020928410934061503
1, 0.05, 0.6, 0.04169575079019694
1, 0.05, 0.65, 0.03669578313517263
1, 0.05, 0.7, 0.020401298861443706
1, 0.05, 0.75, 0.025235354079299555
1, 0.05, 0.8, 0.02505748618230541
1, 0.05, 0.85, 0.013031953203153535
1, 0.05, 0.9, -0.011488555026502922
1, 0.05, 0.95, 0.026446622915500484
1, 0.05, 1, 0.0065701434681813
1, 0.05, 1.05, 0.003997803922260346
1, 0.05, 1.1, 0.006726696920679842
